ACCOUNTID,CUSTOMERID,ACCOUNTTYPE,ACCOUNTBALANCE,ACCOUNTSTATUS,INTERESTRATE,OPENINGDATE,LASTTRANSACTIONDATE
REYJ69941205765509,2168,Certificate of deposit (CD),4083108,Closed,9.86,YYYY-42-DD 16:42:SS,YYYY-40-DD 08:40:SS
AWOE27239507488916,1555,Certificate of deposit (CD),2528527,Active,9.65,YYYY-10-DD 19:10:SS,YYYY-33-DD 23:33:SS
JRVJ87831904689197,1144,Individual retirement arrangement (IRA),2705603,Closed,5.89,YYYY-55-DD 12:55:SS,YYYY-49-DD 12:49:SS
VACR61506225135077,1395,Money market account,1420723,Frozen,9.35,YYYY-58-DD 17:58:SS,YYYY-26-DD 12:26:SS
OLCA74518935728666,2104,Brokerage account,1083586,Frozen,5.81,YYYY-21-DD 08:21:SS,YYYY-03-DD 14:03:SS
CNGQ23668433778697,1209,Savings account,3228015,Closed,8.23,YYYY-21-DD 02:21:SS,YYYY-34-DD 17:34:SS
OHMJ00735115524437,2141,Checking account,1993012,Closed,8.8,YYYY-22-DD 15:22:SS,YYYY-08-DD 16:08:SS
MECL28477190196968,1111,Savings account,4498441,Frozen,5.76,YYYY-03-DD 06:03:SS,YYYY-33-DD 10:33:SS
FUXN33468170836228,1861,Money market account,2426027,Closed,7.4,YYYY-51-DD 23:51:SS,YYYY-05-DD 00:05:SS
TSRG51552550360949,1210,Brokerage account,3617544,Active,5.67,YYYY-09-DD 23:09:SS,YYYY-02-DD 01:02:SS
QXRN18832931990309,1703,Savings account,2206609,Closed,9.89,YYYY-40-DD 19:40:SS,YYYY-49-DD 22:49:SS
SCKS22490131241180,2220,Brokerage account,3497522,Closed,5.97,YYYY-54-DD 01:54:SS,YYYY-25-DD 07:25:SS
ZVNL35929545344751,2279,Certificate of deposit (CD),479045,Active,6.51,YYYY-52-DD 02:52:SS,YYYY-11-DD 09:11:SS
UAGW69946970940695,1338,Brokerage account,4999714,Active,7.25,YYYY-15-DD 04:15:SS,YYYY-52-DD 02:52:SS
LMAQ74543865756703,2364,Checking account,3418512,Frozen,7.2,YYYY-39-DD 20:39:SS,YYYY-34-DD 01:34:SS
KTMI85533661846520,1731,Individual retirement arrangement (IRA),3315180,Active,6.24,YYYY-21-DD 08:21:SS,YYYY-15-DD 10:15:SS
HKKQ93904766906310,2134,Money market account,1833326,Closed,7.93,YYYY-45-DD 04:45:SS,YYYY-31-DD 22:31:SS
IGPK01446256912488,2286,Individual retirement arrangement (IRA),4050274,Closed,8.65,YYYY-55-DD 22:55:SS,YYYY-49-DD 08:49:SS
LVNG50516458868697,1666,Checking account,375462,Closed,7.76,YYYY-39-DD 12:39:SS,YYYY-19-DD 19:19:SS
OLPM08742869373910,1423,Individual retirement arrangement (IRA),4555853,Active,9.61,YYYY-29-DD 03:29:SS,YYYY-06-DD 20:06:SS
HPYE08299063768900,2059,Individual retirement arrangement (IRA),4948363,Active,5.39,YYYY-30-DD 22:30:SS,YYYY-24-DD 09:24:SS
TGYJ61809849043251,2006,Individual retirement arrangement (IRA),702897,Active,7.21,YYYY-33-DD 12:33:SS,YYYY-23-DD 08:23:SS
WREY82186450609117,2460,Checking account,2551102,Active,9.18,YYYY-43-DD 17:43:SS,YYYY-27-DD 15:27:SS
YNFN60284534675047,2427,Brokerage account,2203301,Frozen,5.81,YYYY-06-DD 03:06:SS,YYYY-11-DD 00:11:SS
BLGF75043240377020,1863,Savings account,4582466,Closed,7.4,YYYY-46-DD 23:46:SS,YYYY-34-DD 15:34:SS
GWKE64619238530760,2142,Money market account,2551359,Closed,9.8,YYYY-25-DD 03:25:SS,YYYY-01-DD 12:01:SS
DNRD38965216501302,1826,Savings account,2553464,Active,7.15,YYYY-33-DD 17:33:SS,YYYY-58-DD 13:58:SS
QWCB32302911891198,1734,Brokerage account,3271564,Active,6.77,YYYY-37-DD 18:37:SS,YYYY-04-DD 10:04:SS
IQID90468905134262,1800,Checking account,3883641,Active,9.7,YYYY-21-DD 00:21:SS,YYYY-38-DD 06:38:SS
QXZE34826286863630,1772,Money market account,2705283,Active,7.93,YYYY-45-DD 16:45:SS,YYYY-31-DD 03:31:SS
MODS27524355221291,1120,Certificate of deposit (CD),3852918,Closed,6.87,YYYY-36-DD 22:36:SS,YYYY-11-DD 22:11:SS
BZSM77058232575235,2169,Money market account,3350436,Frozen,8.98,YYYY-56-DD 00:56:SS,YYYY-29-DD 06:29:SS
GKNG29345818749118,1293,Individual retirement arrangement (IRA),2159341,Frozen,6.54,YYYY-25-DD 22:25:SS,YYYY-25-DD 18:25:SS
FHTZ90021082081207,1974,Savings account,2429304,Frozen,5.1,YYYY-49-DD 18:49:SS,YYYY-16-DD 17:16:SS
HDGZ41732359107583,1931,Savings account,2997333,Closed,7.81,YYYY-43-DD 06:43:SS,YYYY-09-DD 13:09:SS
JRVN24749562952277,1106,Brokerage account,1956132,Closed,5.29,YYYY-01-DD 07:01:SS,YYYY-03-DD 13:03:SS
HSGU74770849163588,1991,Brokerage account,189457,Closed,9.84,YYYY-05-DD 14:05:SS,YYYY-59-DD 19:59:SS
QLXO66543330346144,2324,Savings account,251542,Frozen,9.19,YYYY-13-DD 15:13:SS,YYYY-10-DD 23:10:SS
WJVH99821283558508,1667,Money market account,4818685,Closed,9.97,YYYY-19-DD 00:19:SS,YYYY-04-DD 09:04:SS
WRVX87331107811492,1305,Money market account,4861813,Closed,6.93,YYYY-02-DD 13:02:SS,YYYY-57-DD 21:57:SS
EPMT53719399668832,2034,Individual retirement arrangement (IRA),2015747,Closed,8.49,YYYY-25-DD 08:25:SS,YYYY-00-DD 22:00:SS
QZGU71293980208880,2338,Individual retirement arrangement (IRA),4867859,Closed,7.35,YYYY-44-DD 02:44:SS,YYYY-32-DD 13:32:SS
MZUA46971204111928,2291,Individual retirement arrangement (IRA),4957419,Closed,5.19,YYYY-37-DD 07:37:SS,YYYY-37-DD 20:37:SS
NRZF69401466396362,1397,Brokerage account,3107670,Closed,7.77,YYYY-55-DD 08:55:SS,YYYY-13-DD 16:13:SS
FFIQ29807910421555,1880,Certificate of deposit (CD),3561583,Frozen,5.73,YYYY-13-DD 12:13:SS,YYYY-57-DD 01:57:SS
GFWA36766802624867,1308,Individual retirement arrangement (IRA),2186813,Closed,5.5,YYYY-51-DD 13:51:SS,YYYY-04-DD 13:04:SS
QQEL09912533226548,2464,Checking account,765332,Closed,7.14,YYYY-36-DD 14:36:SS,YYYY-58-DD 22:58:SS
JDSH05279653697630,2080,Certificate of deposit (CD),154666,Frozen,7.16,YYYY-42-DD 09:42:SS,YYYY-59-DD 01:59:SS
NKHN04832999636023,1253,Checking account,1731331,Closed,9.61,YYYY-23-DD 06:23:SS,YYYY-45-DD 22:45:SS
WLYC53760356763078,1940,Individual retirement arrangement (IRA),2158096,Closed,6.86,YYYY-05-DD 23:05:SS,YYYY-47-DD 13:47:SS
GFZZ47261421888861,2295,Certificate of deposit (CD),2429595,Frozen,5.42,YYYY-00-DD 05:00:SS,YYYY-52-DD 07:52:SS
KDFM09286552340006,1705,Certificate of deposit (CD),2468247,Active,8.79,YYYY-33-DD 09:33:SS,YYYY-25-DD 10:25:SS
MXTV75891194915528,2288,Savings account,2504155,Active,8.72,YYYY-58-DD 13:58:SS,YYYY-12-DD 03:12:SS
ALEV10077318515343,1918,Brokerage account,637142,Closed,9.8,YYYY-24-DD 03:24:SS,YYYY-29-DD 12:29:SS
YTLA60657493196555,2241,Money market account,3753785,Closed,7.29,YYYY-36-DD 04:36:SS,YYYY-11-DD 09:11:SS
XMZK55768774177108,1511,Checking account,3114216,Active,5.77,YYYY-21-DD 14:21:SS,YYYY-04-DD 15:04:SS
ARCQ65826938557235,1071,Certificate of deposit (CD),3382945,Active,8.62,YYYY-54-DD 18:54:SS,YYYY-02-DD 03:02:SS
BLXA31821201805464,1099,Certificate of deposit (CD),1479591,Active,6.39,YYYY-24-DD 11:24:SS,YYYY-06-DD 12:06:SS
CPVR11681307508841,2285,Checking account,557255,Active,5.45,YYYY-05-DD 14:05:SS,YYYY-57-DD 19:57:SS
PPBC01699884143353,1282,Certificate of deposit (CD),3658945,Closed,7.67,YYYY-38-DD 15:38:SS,YYYY-25-DD 02:25:SS
ZJZT59624091797659,1753,Checking account,3895965,Frozen,8.46,YYYY-54-DD 18:54:SS,YYYY-26-DD 05:26:SS
CTAT97216443947977,1891,Individual retirement arrangement (IRA),2931256,Frozen,5.77,YYYY-40-DD 12:40:SS,YYYY-00-DD 03:00:SS
YWUD54792488319798,1613,Checking account,169759,Frozen,5.69,YYYY-18-DD 23:18:SS,YYYY-57-DD 07:57:SS
FQGS97500968450126,2276,Checking account,1042633,Frozen,6.57,YYYY-42-DD 21:42:SS,YYYY-25-DD 19:25:SS
HLVS95543618378250,2096,Savings account,1192340,Closed,8.13,YYYY-00-DD 20:00:SS,YYYY-18-DD 15:18:SS
MALX04034394991825,1883,Savings account,4795939,Frozen,9.29,YYYY-12-DD 20:12:SS,YYYY-52-DD 06:52:SS
NTQG71779899302180,1371,Savings account,2569677,Closed,8.88,YYYY-37-DD 10:37:SS,YYYY-00-DD 15:00:SS
LYHW59327068607870,1331,Certificate of deposit (CD),3824133,Active,7.98,YYYY-36-DD 09:36:SS,YYYY-12-DD 07:12:SS
HEFJ29149018257236,1372,Savings account,208041,Frozen,6.4,YYYY-26-DD 19:26:SS,YYYY-04-DD 02:04:SS
YCFV39921053075576,1881,Checking account,400848,Active,6.73,YYYY-37-DD 15:37:SS,YYYY-51-DD 01:51:SS
MKUO79153697982083,1860,Checking account,706523,Active,9.33,YYYY-00-DD 05:00:SS,YYYY-56-DD 13:56:SS
SKVA69617020230953,2095,Certificate of deposit (CD),2534833,Closed,8.22,YYYY-42-DD 17:42:SS,YYYY-21-DD 09:21:SS
OTZQ04861324336569,2251,Money market account,420806,Frozen,7.11,YYYY-48-DD 03:48:SS,YYYY-52-DD 08:52:SS
CBNA77297829350039,2303,Money market account,3043934,Closed,5.15,YYYY-10-DD 09:10:SS,YYYY-25-DD 05:25:SS
RXCZ39889008309637,1419,Brokerage account,1639103,Active,8.22,YYYY-45-DD 04:45:SS,YYYY-54-DD 19:54:SS
HQBA22406555082228,2050,Savings account,4986318,Closed,8.51,YYYY-59-DD 00:59:SS,YYYY-07-DD 14:07:SS
SRST22965373755984,1655,Brokerage account,1676695,Frozen,9.1,YYYY-49-DD 14:49:SS,YYYY-33-DD 12:33:SS
PGHM86610253621833,2124,Individual retirement arrangement (IRA),1126745,Active,9.21,YYYY-39-DD 00:39:SS,YYYY-56-DD 14:56:SS
DEXY91503554332790,2264,Checking account,3661948,Frozen,7.17,YYYY-23-DD 19:23:SS,YYYY-07-DD 23:07:SS
MJEQ03130515206091,1049,Savings account,4607071,Closed,8.73,YYYY-52-DD 00:52:SS,YYYY-13-DD 18:13:SS
HTVJ59806129216680,1169,Certificate of deposit (CD),3039266,Frozen,8.66,YYYY-01-DD 23:01:SS,YYYY-27-DD 17:27:SS
PAZW76791347158382,2177,Individual retirement arrangement (IRA),138413,Frozen,9.41,YYYY-02-DD 01:02:SS,YYYY-31-DD 08:31:SS
TSLB30282475193384,2470,Checking account,2530739,Frozen,5.62,YYYY-00-DD 06:00:SS,YYYY-42-DD 21:42:SS
MOUJ37492164667403,1977,Money market account,4172449,Frozen,6.82,YYYY-17-DD 06:17:SS,YYYY-02-DD 01:02:SS
DQFK59056621261540,2160,Money market account,3307775,Active,6.14,YYYY-53-DD 17:53:SS,YYYY-39-DD 22:39:SS
AAAB01190110199701,2491,Individual retirement arrangement (IRA),1117269,Active,7.53,YYYY-02-DD 16:02:SS,YYYY-13-DD 10:13:SS
EEBQ38890555367272,1556,Savings account,2604261,Frozen,6.25,YYYY-38-DD 10:38:SS,YYYY-07-DD 14:07:SS
HNQG90069781669763,1785,Brokerage account,3148359,Frozen,6.36,YYYY-25-DD 21:25:SS,YYYY-09-DD 17:09:SS
OOAR01081575326397,2182,Checking account,1806788,Active,9.42,YYYY-14-DD 07:14:SS,YYYY-20-DD 19:20:SS
CLPG47189296118967,1632,Certificate of deposit (CD),3126976,Active,5.93,YYYY-28-DD 00:28:SS,YYYY-50-DD 15:50:SS
NQRC27539759198806,2072,Savings account,847745,Closed,9.95,YYYY-32-DD 22:32:SS,YYYY-12-DD 05:12:SS
QSYX37412971050584,1466,Certificate of deposit (CD),3247227,Active,7.98,YYYY-48-DD 20:48:SS,YYYY-14-DD 02:14:SS
GLWA94717370887129,2226,Checking account,1375797,Closed,5.47,YYYY-53-DD 20:53:SS,YYYY-31-DD 23:31:SS
BXXE82921288298040,2025,Certificate of deposit (CD),3721371,Closed,8.2,YYYY-56-DD 02:56:SS,YYYY-26-DD 16:26:SS
BWLS60194846759956,2018,Brokerage account,3379330,Active,6.23,YYYY-24-DD 06:24:SS,YYYY-57-DD 07:57:SS
CIIU07622869642287,2132,Savings account,3110802,Closed,6.21,YYYY-54-DD 15:54:SS,YYYY-39-DD 13:39:SS
LSXX42512769409582,1480,Checking account,4438346,Frozen,7.28,YYYY-15-DD 07:15:SS,YYYY-14-DD 03:14:SS
XIZB70658980876863,2420,Brokerage account,919506,Active,8.12,YYYY-36-DD 20:36:SS,YYYY-27-DD 12:27:SS
BFOD06387961261683,1739,Money market account,1018986,Closed,6.74,YYYY-53-DD 17:53:SS,YYYY-08-DD 07:08:SS
UPNZ89175961026135,1708,Checking account,240801,Frozen,7.96,YYYY-53-DD 12:53:SS,YYYY-52-DD 05:52:SS
OXEZ21969860887929,2236,Certificate of deposit (CD),1065414,Active,5.65,YYYY-18-DD 21:18:SS,YYYY-33-DD 12:33:SS
JSMG89238454724470,2090,Checking account,4768143,Active,5.15,YYYY-19-DD 15:19:SS,YYYY-24-DD 22:24:SS
LWLH43609712080801,1875,Checking account,4587834,Closed,7.53,YYYY-22-DD 16:22:SS,YYYY-25-DD 23:25:SS
OSGK45713436504143,2111,Certificate of deposit (CD),2383524,Closed,9.82,YYYY-46-DD 12:46:SS,YYYY-16-DD 14:16:SS
LCAP09294688259552,1571,Individual retirement arrangement (IRA),593133,Active,5.9,YYYY-25-DD 09:25:SS,YYYY-50-DD 11:50:SS
MHIR54330131811249,1298,Money market account,1285762,Frozen,8.72,YYYY-34-DD 00:34:SS,YYYY-07-DD 11:07:SS
THVI37720608930270,2420,Savings account,4688565,Active,8.7,YYYY-45-DD 10:45:SS,YYYY-09-DD 04:09:SS
ZRIY91025276776154,2036,Certificate of deposit (CD),3170263,Frozen,6.45,YYYY-40-DD 15:40:SS,YYYY-04-DD 08:04:SS
SQJX81581937567323,1847,Money market account,517920,Active,6.81,YYYY-50-DD 17:50:SS,YYYY-40-DD 11:40:SS
IBPR92976519856381,1684,Savings account,4928234,Frozen,7.57,YYYY-21-DD 02:21:SS,YYYY-58-DD 22:58:SS
CMLV17188472218968,1224,Certificate of deposit (CD),1322240,Frozen,7.92,YYYY-52-DD 04:52:SS,YYYY-15-DD 07:15:SS
SXEY86715773217183,1903,Certificate of deposit (CD),3752443,Frozen,6.88,YYYY-00-DD 05:00:SS,YYYY-38-DD 08:38:SS
GHZI06483965078608,1283,Individual retirement arrangement (IRA),530048,Active,8.6,YYYY-40-DD 11:40:SS,YYYY-17-DD 05:17:SS
GTJO26916993298694,1629,Money market account,277128,Frozen,6.9,YYYY-07-DD 16:07:SS,YYYY-59-DD 11:59:SS
RBBX15053252327068,1516,Brokerage account,3894300,Active,8.41,YYYY-18-DD 13:18:SS,YYYY-16-DD 17:16:SS
QJSA21971017970746,1945,Individual retirement arrangement (IRA),552951,Closed,7.18,YYYY-01-DD 08:01:SS,YYYY-06-DD 07:06:SS
GVIB22136390475655,1067,Checking account,2273332,Closed,7.32,YYYY-14-DD 15:14:SS,YYYY-20-DD 03:20:SS
NIQA86183204137283,1929,Savings account,1724807,Closed,8.27,YYYY-01-DD 05:01:SS,YYYY-30-DD 01:30:SS
CZLD58123421945822,2249,Checking account,1237694,Frozen,8.35,YYYY-42-DD 04:42:SS,YYYY-40-DD 08:40:SS
TSCS83391002949854,1069,Money market account,3241165,Closed,5.25,YYYY-34-DD 07:34:SS,YYYY-13-DD 12:13:SS
IYRN46306176395023,1501,Individual retirement arrangement (IRA),4169541,Closed,5.61,YYYY-36-DD 20:36:SS,YYYY-30-DD 23:30:SS
FZUT96295059116090,1470,Individual retirement arrangement (IRA),1254573,Frozen,8.19,YYYY-54-DD 05:54:SS,YYYY-34-DD 00:34:SS
UZPK24696478605992,2266,Checking account,1098445,Active,6.8,YYYY-04-DD 02:04:SS,YYYY-00-DD 12:00:SS
PCZZ92471086269493,1422,Money market account,2282725,Closed,7.31,YYYY-34-DD 13:34:SS,YYYY-16-DD 19:16:SS
QXSC88041729312863,2068,Money market account,1013573,Active,7.61,YYYY-57-DD 07:57:SS,YYYY-41-DD 00:41:SS
FWIG75022918037197,1261,Individual retirement arrangement (IRA),1641152,Closed,8.26,YYYY-14-DD 00:14:SS,YYYY-08-DD 04:08:SS
EWAR20114420257742,1554,Money market account,1650331,Frozen,9.5,YYYY-40-DD 18:40:SS,YYYY-30-DD 09:30:SS
SHUL58611787988540,1152,Money market account,241358,Closed,9.16,YYYY-51-DD 14:51:SS,YYYY-52-DD 09:52:SS
FAUB39572709734342,1788,Checking account,2153472,Closed,5.96,YYYY-15-DD 04:15:SS,YYYY-26-DD 17:26:SS
LOQL29703436971961,2440,Savings account,4797897,Active,5.2,YYYY-59-DD 17:59:SS,YYYY-56-DD 12:56:SS
TURH47439347461548,2192,Savings account,3854926,Frozen,9.85,YYYY-41-DD 03:41:SS,YYYY-12-DD 11:12:SS
NSXJ21730049960764,1584,Brokerage account,3990689,Closed,7.31,YYYY-26-DD 10:26:SS,YYYY-17-DD 16:17:SS
UDIC06107865907434,1715,Savings account,4626186,Active,8.62,YYYY-58-DD 23:58:SS,YYYY-29-DD 04:29:SS
KENQ55831368975548,1436,Certificate of deposit (CD),3598660,Closed,5.6,YYYY-58-DD 05:58:SS,YYYY-30-DD 04:30:SS
EZFK05653684402129,1331,Brokerage account,1650693,Active,6.65,YYYY-18-DD 22:18:SS,YYYY-28-DD 06:28:SS
RXNK37364266008298,1219,Savings account,3497343,Frozen,9.34,YYYY-44-DD 05:44:SS,YYYY-44-DD 11:44:SS
SYJG87053075663071,2458,Brokerage account,193747,Active,8.52,YYYY-08-DD 20:08:SS,YYYY-34-DD 16:34:SS
VVRX11031159771082,1381,Certificate of deposit (CD),2893576,Frozen,9.35,YYYY-35-DD 16:35:SS,YYYY-43-DD 23:43:SS
SBAE98088752418873,1130,Individual retirement arrangement (IRA),4859916,Active,9.97,YYYY-32-DD 05:32:SS,YYYY-03-DD 06:03:SS
MBUV84152529212414,2329,Brokerage account,480616,Closed,9.55,YYYY-33-DD 05:33:SS,YYYY-52-DD 09:52:SS
WIOR57622461235035,2028,Brokerage account,4684744,Frozen,7.78,YYYY-22-DD 23:22:SS,YYYY-21-DD 02:21:SS
KPDU17638776118792,1256,Brokerage account,1162508,Active,9.82,YYYY-07-DD 00:07:SS,YYYY-04-DD 14:04:SS
LMMP53030954110838,1615,Certificate of deposit (CD),1429844,Closed,7.36,YYYY-00-DD 11:00:SS,YYYY-46-DD 16:46:SS
SGTF86707229870670,1134,Checking account,2914122,Frozen,7.81,YYYY-33-DD 13:33:SS,YYYY-42-DD 02:42:SS
ZHLC32147562455408,1140,Individual retirement arrangement (IRA),4563103,Frozen,7.2,YYYY-30-DD 22:30:SS,YYYY-47-DD 19:47:SS
FOLE55092120280434,1519,Money market account,2312742,Closed,7.54,YYYY-09-DD 20:09:SS,YYYY-57-DD 21:57:SS
ONBZ46996951006351,1696,Money market account,408424,Active,6.67,YYYY-37-DD 10:37:SS,YYYY-24-DD 15:24:SS
WPMH24894337513938,2496,Brokerage account,2805044,Frozen,8.84,YYYY-48-DD 00:48:SS,YYYY-51-DD 08:51:SS
SZEE40257710222840,1743,Brokerage account,2663134,Closed,5.91,YYYY-30-DD 10:30:SS,YYYY-26-DD 06:26:SS
FANY95535218762410,1268,Certificate of deposit (CD),1621668,Frozen,5.67,YYYY-44-DD 14:44:SS,YYYY-35-DD 10:35:SS
TJPY67393169755885,2246,Money market account,4712512,Closed,7.16,YYYY-38-DD 00:38:SS,YYYY-20-DD 08:20:SS
SCPO86199632736602,1329,Certificate of deposit (CD),4618290,Frozen,9.38,YYYY-25-DD 19:25:SS,YYYY-58-DD 23:58:SS
AFRP19141137512603,2082,Money market account,3731894,Closed,5.31,YYYY-38-DD 17:38:SS,YYYY-25-DD 17:25:SS
XBEK92591651344892,1148,Money market account,1835337,Closed,7.2,YYYY-27-DD 14:27:SS,YYYY-03-DD 03:03:SS
ELWS32249517398918,2014,Checking account,3306773,Active,9.73,YYYY-21-DD 04:21:SS,YYYY-06-DD 19:06:SS
KVCJ05875348132242,1364,Brokerage account,3766412,Frozen,7.19,YYYY-08-DD 05:08:SS,YYYY-08-DD 04:08:SS
KYDT04065229666123,1626,Certificate of deposit (CD),2474418,Frozen,7.63,YYYY-07-DD 06:07:SS,YYYY-58-DD 04:58:SS
HZMD09389485992638,1078,Brokerage account,4898985,Frozen,5.61,YYYY-34-DD 00:34:SS,YYYY-50-DD 06:50:SS
GYKS78343124622853,2265,Individual retirement arrangement (IRA),2352696,Frozen,9.5,YYYY-06-DD 18:06:SS,YYYY-27-DD 23:27:SS
BKEA12149114945928,1297,Checking account,3889450,Frozen,8.69,YYYY-41-DD 23:41:SS,YYYY-31-DD 13:31:SS
RVLT70929396781196,1326,Certificate of deposit (CD),4577463,Closed,7.93,YYYY-05-DD 11:05:SS,YYYY-08-DD 06:08:SS
GWEF27089660387658,2211,Checking account,149590,Active,6.77,YYYY-29-DD 10:29:SS,YYYY-46-DD 10:46:SS
NEDQ64510990124520,1354,Savings account,2726910,Active,5.3,YYYY-11-DD 00:11:SS,YYYY-15-DD 02:15:SS
GFMS86420929304880,1931,Brokerage account,1752826,Frozen,9.66,YYYY-56-DD 10:56:SS,YYYY-43-DD 00:43:SS
RBJV58801002024121,1030,Money market account,2882926,Active,7.49,YYYY-33-DD 00:33:SS,YYYY-26-DD 10:26:SS
XABR17724889543952,1548,Savings account,1758458,Frozen,5.3,YYYY-08-DD 03:08:SS,YYYY-46-DD 04:46:SS
OGVG64541476915201,2339,Individual retirement arrangement (IRA),4373181,Active,9.92,YYYY-56-DD 05:56:SS,YYYY-18-DD 15:18:SS
RKNG79275707835689,1326,Brokerage account,3367815,Frozen,9.29,YYYY-16-DD 17:16:SS,YYYY-57-DD 02:57:SS
CELT49231133637001,2461,Savings account,1788702,Active,6.24,YYYY-03-DD 10:03:SS,YYYY-44-DD 01:44:SS
VCAL22273766179689,2400,Certificate of deposit (CD),4687564,Frozen,5.72,YYYY-04-DD 03:04:SS,YYYY-04-DD 03:04:SS
NCDS47620760927939,1713,Individual retirement arrangement (IRA),586115,Closed,5.39,YYYY-48-DD 14:48:SS,YYYY-27-DD 17:27:SS
YCJU50133399187355,1980,Brokerage account,4445766,Frozen,5.7,YYYY-19-DD 17:19:SS,YYYY-49-DD 13:49:SS
QDRS53591379046842,2405,Checking account,3482942,Active,9.25,YYYY-49-DD 17:49:SS,YYYY-44-DD 16:44:SS
VECX45753007608536,1494,Checking account,4303503,Closed,9.71,YYYY-27-DD 22:27:SS,YYYY-10-DD 10:10:SS
KYIX49121530254948,1206,Checking account,1755988,Closed,9.86,YYYY-46-DD 01:46:SS,YYYY-12-DD 12:12:SS
MHDS14983269394696,1423,Brokerage account,1403888,Active,8.66,YYYY-51-DD 11:51:SS,YYYY-50-DD 06:50:SS
VKPW08285653004167,1394,Money market account,635957,Frozen,6.12,YYYY-03-DD 14:03:SS,YYYY-36-DD 23:36:SS
QQZO11467159962492,1926,Savings account,1505010,Closed,6.88,YYYY-18-DD 15:18:SS,YYYY-45-DD 18:45:SS
FNZU88385574802006,2364,Checking account,4870360,Frozen,7.77,YYYY-30-DD 02:30:SS,YYYY-22-DD 17:22:SS
WKAY65008661920819,1278,Money market account,2116967,Frozen,6.58,YYYY-40-DD 16:40:SS,YYYY-32-DD 18:32:SS
NGLU54482510884682,1216,Money market account,384965,Active,5.59,YYYY-55-DD 14:55:SS,YYYY-53-DD 01:53:SS
GHAU37175645046726,1572,Checking account,2314522,Frozen,5.34,YYYY-16-DD 20:16:SS,YYYY-13-DD 18:13:SS
KPKC98696272775704,1932,Brokerage account,3057663,Active,7.79,YYYY-04-DD 11:04:SS,YYYY-54-DD 11:54:SS
QBXH12301854290125,1042,Savings account,2697592,Closed,8.81,YYYY-44-DD 01:44:SS,YYYY-32-DD 22:32:SS
TZHW89516487830397,1218,Checking account,1926114,Closed,9.23,YYYY-41-DD 04:41:SS,YYYY-08-DD 08:08:SS
NPWT80065442587280,1106,Certificate of deposit (CD),2163354,Closed,5.54,YYYY-04-DD 20:04:SS,YYYY-15-DD 18:15:SS
QEJG67936172528113,1230,Brokerage account,2922734,Active,9.64,YYYY-36-DD 22:36:SS,YYYY-52-DD 02:52:SS
MGNZ37087990750621,1708,Individual retirement arrangement (IRA),1125487,Frozen,8.5,YYYY-11-DD 20:11:SS,YYYY-38-DD 17:38:SS
VNMQ10332164135391,1440,Brokerage account,2519806,Closed,9.54,YYYY-57-DD 12:57:SS,YYYY-57-DD 19:57:SS
WLYD44058536952359,1196,Certificate of deposit (CD),3285879,Closed,8.79,YYYY-01-DD 19:01:SS,YYYY-55-DD 06:55:SS
PREF93130289286280,2286,Money market account,788479,Frozen,7.3,YYYY-57-DD 20:57:SS,YYYY-17-DD 02:17:SS
TVHM47480958851447,2414,Money market account,1843504,Active,6.31,YYYY-11-DD 03:11:SS,YYYY-21-DD 01:21:SS
KRUB66869666686952,1567,Brokerage account,3420884,Frozen,8.5,YYYY-17-DD 05:17:SS,YYYY-37-DD 07:37:SS
UUAN93446941595495,2199,Certificate of deposit (CD),499422,Closed,6.24,YYYY-35-DD 19:35:SS,YYYY-27-DD 02:27:SS
NGHP73734421608229,1968,Individual retirement arrangement (IRA),1927656,Closed,9.92,YYYY-03-DD 10:03:SS,YYYY-29-DD 07:29:SS
YXAH79790511034450,2269,Savings account,2004873,Closed,8,YYYY-35-DD 17:35:SS,YYYY-23-DD 08:23:SS
XUBG26222446471452,2445,Individual retirement arrangement (IRA),3335689,Closed,8.76,YYYY-49-DD 22:49:SS,YYYY-01-DD 12:01:SS
JENF58456409187744,1183,Certificate of deposit (CD),4907637,Closed,9.78,YYYY-20-DD 11:20:SS,YYYY-28-DD 20:28:SS
GQPZ01130601632865,2381,Certificate of deposit (CD),3144078,Active,7.73,YYYY-55-DD 08:55:SS,YYYY-00-DD 07:00:SS
GVLL80855023042798,2117,Savings account,2337423,Frozen,8.18,YYYY-19-DD 13:19:SS,YYYY-04-DD 08:04:SS
VLMX20174504152673,1987,Certificate of deposit (CD),528854,Frozen,5.97,YYYY-04-DD 05:04:SS,YYYY-18-DD 20:18:SS
SQUJ93556172070084,1257,Brokerage account,158103,Active,6.74,YYYY-50-DD 16:50:SS,YYYY-45-DD 04:45:SS
RNAR12271859250479,1227,Money market account,2449412,Frozen,5.17,YYYY-13-DD 23:13:SS,YYYY-30-DD 03:30:SS
ZASS30457127513925,1477,Certificate of deposit (CD),678532,Closed,6.47,YYYY-53-DD 04:53:SS,YYYY-03-DD 16:03:SS
FZQW68998551236001,2258,Money market account,707195,Active,9.45,YYYY-13-DD 12:13:SS,YYYY-19-DD 00:19:SS
PGPN98945578664111,1747,Brokerage account,1553131,Frozen,6.35,YYYY-50-DD 21:50:SS,YYYY-48-DD 18:48:SS
AQRI00030564547535,1475,Certificate of deposit (CD),605579,Closed,7,YYYY-46-DD 18:46:SS,YYYY-55-DD 06:55:SS
