INVESTMENTACCOUNTID,CUSTOMERID,ACCOUNTTYPE,INVESTMENTSTATUS,INVESTMENTSTARTDATE,INVESTMENTENDDATE,RETURNS,INVESTMENTPORTFOLIO
PYSI87656394163546,1221,Fixed Deposits,Closed,YYYY-51-DD 04:51:SS,YYYY-47-DD 10:47:SS,14.67,80828907
HXGE40526232743929,1403,Fixed Deposits,Closed,YYYY-29-DD 12:29:SS,YYYY-22-DD 18:22:SS,17.55,43706723
AJPK62206497276133,1792,Stocks,Active,YYYY-50-DD 21:50:SS,YYYY-50-DD 21:50:SS,7.87,74042487
ZOUL90114385607891,1549,Mutual Funds,Closed,YYYY-37-DD 23:37:SS,YYYY-40-DD 08:40:SS,8.29,22565372
KMRI70631811153168,1016,Fixed Deposits,Closed,YYYY-49-DD 08:49:SS,YYYY-49-DD 08:49:SS,5.76,03796696
FGQV32644048721962,2434,Fixed Deposits,Active,YYYY-44-DD 07:44:SS,YYYY-23-DD 07:23:SS,18.69,50762996
VBKE59851124912703,2008,Fixed Deposits,Closed,YYYY-13-DD 22:13:SS,YYYY-53-DD 02:53:SS,5.86,27959503
DDIL62112404103633,1204,Fixed Deposits,Closed,YYYY-45-DD 20:45:SS,YYYY-10-DD 03:10:SS,15.14,58140727
DRKL50962298941213,1750,Stocks,Closed,YYYY-43-DD 15:43:SS,YYYY-45-DD 19:45:SS,8.41,46862112
XDYQ19819021859512,1584,Stocks,Closed,YYYY-37-DD 12:37:SS,YYYY-46-DD 03:46:SS,15.85,38803741
EPRY40535985855555,2164,Fixed Deposits,Active,YYYY-27-DD 19:27:SS,YYYY-09-DD 00:09:SS,16.7,54377455
FDPX99974862404028,2120,Stocks,Active,YYYY-23-DD 21:23:SS,YYYY-17-DD 06:17:SS,6.93,16455382
YIUB76404073617259,1921,Fixed Deposits,Active,YYYY-34-DD 17:34:SS,YYYY-53-DD 12:53:SS,17.88,07032455
EUXJ35544314762351,1998,Fixed Deposits,Closed,YYYY-33-DD 15:33:SS,YYYY-10-DD 06:10:SS,8.53,76571480
HIPH79776801253518,1817,Mutual Funds,Closed,YYYY-37-DD 19:37:SS,YYYY-34-DD 17:34:SS,10.87,96916643
POEZ12227477703530,1769,Mutual Funds,Active,YYYY-05-DD 06:05:SS,YYYY-37-DD 08:37:SS,17.69,35752332
CYGV30185467394014,2160,Stocks,Active,YYYY-21-DD 21:21:SS,YYYY-10-DD 08:10:SS,10.86,11815945
DMZJ05297087974917,1849,Mutual Funds,Active,YYYY-47-DD 03:47:SS,YYYY-42-DD 03:42:SS,10.45,64496115
BRGJ87533386224135,1189,Fixed Deposits,Active,YYYY-42-DD 17:42:SS,YYYY-19-DD 23:19:SS,15.36,90941658
OMGG39667999574646,1780,Fixed Deposits,Active,YYYY-46-DD 20:46:SS,YYYY-41-DD 09:41:SS,16.8,65406120
MBFT53362451020824,1918,Fixed Deposits,Closed,YYYY-32-DD 05:32:SS,YYYY-31-DD 11:31:SS,8.48,32549478
UUYD77977295582420,1089,Stocks,Active,YYYY-04-DD 15:04:SS,YYYY-48-DD 16:48:SS,18.19,84668172
OQDX82145891622726,1995,Fixed Deposits,Closed,YYYY-04-DD 10:04:SS,YYYY-01-DD 16:01:SS,16.77,50719235
VTUU48674387922059,1444,Mutual Funds,Closed,YYYY-56-DD 17:56:SS,YYYY-52-DD 19:52:SS,11.58,38545214
IBIQ98494309190903,1681,Stocks,Closed,YYYY-20-DD 06:20:SS,YYYY-16-DD 00:16:SS,9.45,56690392
KZMY75944125000124,2437,Fixed Deposits,Closed,YYYY-48-DD 02:48:SS,YYYY-51-DD 04:51:SS,15.31,21002595
TGNB95213129187560,1701,Mutual Funds,Active,YYYY-19-DD 21:19:SS,YYYY-40-DD 06:40:SS,10.3,85331983
IDBG89076491002727,2130,Stocks,Closed,YYYY-40-DD 16:40:SS,YYYY-44-DD 11:44:SS,15.74,04040606
XXSK75852774097824,1486,Stocks,Active,YYYY-31-DD 10:31:SS,YYYY-31-DD 10:31:SS,9.31,79725330
CKJG99779049702290,1485,Fixed Deposits,Closed,YYYY-44-DD 17:44:SS,YYYY-44-DD 17:44:SS,12.15,82682767
EGJU01476728119635,1580,Mutual Funds,Closed,YYYY-40-DD 16:40:SS,YYYY-14-DD 08:14:SS,9.93,17837026
ZWSG72281631753369,2321,Mutual Funds,Active,YYYY-56-DD 18:56:SS,YYYY-56-DD 18:56:SS,5.25,90300509
MTXJ18666380024418,1632,Mutual Funds,Closed,YYYY-49-DD 17:49:SS,YYYY-12-DD 21:12:SS,11.69,79650717
NHKG17349047116814,2074,Fixed Deposits,Closed,YYYY-26-DD 03:26:SS,YYYY-48-DD 19:48:SS,18.82,53561022
YRJJ56968015521297,1410,Stocks,Active,YYYY-23-DD 00:23:SS,YYYY-07-DD 01:07:SS,12.17,87542868
RAQA16514105697686,1288,Fixed Deposits,Closed,YYYY-39-DD 18:39:SS,YYYY-48-DD 07:48:SS,18.82,66528371
AJZW88547760478231,1327,Mutual Funds,Active,YYYY-54-DD 18:54:SS,YYYY-59-DD 06:59:SS,16.96,28155577
GHZR94038149642727,1414,Fixed Deposits,Active,YYYY-16-DD 02:16:SS,YYYY-28-DD 21:28:SS,15.75,07094989
PXJP04306564441133,1963,Stocks,Active,YYYY-52-DD 06:52:SS,YYYY-45-DD 23:45:SS,16.67,47897823
KZOR66117532439216,1442,Mutual Funds,Closed,YYYY-03-DD 10:03:SS,YYYY-49-DD 02:49:SS,7.6,03821923
OTDD89088189598767,1099,Fixed Deposits,Closed,YYYY-32-DD 04:32:SS,YYYY-45-DD 13:45:SS,18.2,13001964
NBHQ49374456358462,2282,Stocks,Active,YYYY-05-DD 23:05:SS,YYYY-05-DD 23:05:SS,19.76,74713301
OSXJ49522174224297,2174,Mutual Funds,Active,YYYY-08-DD 23:08:SS,YYYY-59-DD 19:59:SS,12.18,39225481
JNFQ85424302634939,1682,Stocks,Closed,YYYY-50-DD 08:50:SS,YYYY-20-DD 03:20:SS,15.48,22587596
GKLW12272214309504,1181,Fixed Deposits,Closed,YYYY-31-DD 05:31:SS,YYYY-30-DD 12:30:SS,7.47,74859375
FBYV32573064233839,2451,Fixed Deposits,Closed,YYYY-03-DD 22:03:SS,YYYY-15-DD 22:15:SS,17.87,07818400
YFGE51261586276921,2247,Stocks,Active,YYYY-05-DD 09:05:SS,YYYY-55-DD 21:55:SS,5.97,50225323
GDFG24949710617921,1435,Fixed Deposits,Active,YYYY-19-DD 11:19:SS,YYYY-46-DD 20:46:SS,13.86,70446432
PPZC87941350951788,1343,Mutual Funds,Closed,YYYY-41-DD 23:41:SS,YYYY-29-DD 21:29:SS,16.49,19985183
MKHD98441144641796,1882,Fixed Deposits,Closed,YYYY-35-DD 21:35:SS,YYYY-35-DD 21:35:SS,18.99,36581320
GNQV62324870084552,1891,Fixed Deposits,Closed,YYYY-20-DD 15:20:SS,YYYY-11-DD 04:11:SS,18.14,45333255
WVOZ03447650866361,1831,Mutual Funds,Active,YYYY-10-DD 11:10:SS,YYYY-06-DD 02:06:SS,5.82,03612477
CMHX02454250021485,2090,Fixed Deposits,Closed,YYYY-08-DD 08:08:SS,YYYY-00-DD 19:00:SS,5.49,79291026
UDWB40910372203410,1905,Stocks,Active,YYYY-40-DD 18:40:SS,YYYY-48-DD 03:48:SS,13.89,99486044
VVHZ64417596085005,1524,Fixed Deposits,Closed,YYYY-33-DD 08:33:SS,YYYY-52-DD 21:52:SS,16.2,62799447
PMRC80893166094831,2195,Stocks,Closed,YYYY-23-DD 09:23:SS,YYYY-40-DD 05:40:SS,9.71,16691612
QHIH16003174098693,2167,Mutual Funds,Active,YYYY-06-DD 17:06:SS,YYYY-10-DD 14:10:SS,9.78,45412219
LNNU00852620487727,2131,Stocks,Closed,YYYY-33-DD 05:33:SS,YYYY-16-DD 02:16:SS,8.22,64012612
BGSO07419345531772,2313,Stocks,Active,YYYY-14-DD 07:14:SS,YYYY-02-DD 11:02:SS,7.45,57132532
PVBO99698507086163,1742,Stocks,Closed,YYYY-14-DD 05:14:SS,YYYY-29-DD 23:29:SS,11.29,14055089
CGHD35287738230009,2415,Stocks,Closed,YYYY-44-DD 00:44:SS,YYYY-31-DD 22:31:SS,5.93,59928867
XVDB18391946275948,1755,Mutual Funds,Closed,YYYY-28-DD 23:28:SS,YYYY-08-DD 21:08:SS,9.22,89882764
DPGT11865555232744,1268,Stocks,Active,YYYY-22-DD 14:22:SS,YYYY-34-DD 16:34:SS,16.67,24757942
YBTY25227039720037,1416,Mutual Funds,Active,YYYY-23-DD 06:23:SS,YYYY-25-DD 03:25:SS,5.35,15228192
UWHP34228334837459,1985,Mutual Funds,Active,YYYY-37-DD 04:37:SS,YYYY-28-DD 09:28:SS,13.58,46513052
PDVO34248389389918,1375,Stocks,Active,YYYY-15-DD 22:15:SS,YYYY-51-DD 23:51:SS,10.64,19441955
SKVV68987846646850,1787,Mutual Funds,Active,YYYY-10-DD 01:10:SS,YYYY-53-DD 05:53:SS,17.89,92101319
UFQD36656382113195,2175,Mutual Funds,Active,YYYY-57-DD 20:57:SS,YYYY-46-DD 12:46:SS,7.67,95381596
CQKC61029565478686,1051,Mutual Funds,Closed,YYYY-32-DD 23:32:SS,YYYY-48-DD 20:48:SS,7.8,01178623
QTOE21627918342267,2106,Mutual Funds,Closed,YYYY-56-DD 05:56:SS,YYYY-56-DD 05:56:SS,9.24,82965372
USNG00983533173734,2404,Fixed Deposits,Active,YYYY-19-DD 13:19:SS,YYYY-21-DD 01:21:SS,17.53,30244238
MJHP46196254214882,1948,Fixed Deposits,Active,YYYY-41-DD 01:41:SS,YYYY-32-DD 00:32:SS,16.3,67038497
JZBE80758815544945,1423,Stocks,Active,YYYY-50-DD 00:50:SS,YYYY-26-DD 16:26:SS,17.26,40079844
YJDR45937392034585,1700,Mutual Funds,Active,YYYY-29-DD 13:29:SS,YYYY-21-DD 22:21:SS,6.42,15731319
CFJX60053815520823,1890,Mutual Funds,Active,YYYY-22-DD 20:22:SS,YYYY-40-DD 11:40:SS,6.51,52819957
REHU10630397553679,1807,Stocks,Closed,YYYY-05-DD 07:05:SS,YYYY-29-DD 05:29:SS,15.39,14704963
CKQP02691510939586,1915,Fixed Deposits,Closed,YYYY-29-DD 01:29:SS,YYYY-55-DD 16:55:SS,12.8,61814240
DQIS96618196002093,1910,Fixed Deposits,Active,YYYY-42-DD 12:42:SS,YYYY-51-DD 22:51:SS,18.76,43856138
EAZL79674942380488,2486,Stocks,Closed,YYYY-02-DD 15:02:SS,YYYY-12-DD 20:12:SS,16.67,42133988
ZBQL80693368956207,1037,Stocks,Active,YYYY-11-DD 15:11:SS,YYYY-45-DD 13:45:SS,14.8,64041179
UGXV34403699973484,1646,Stocks,Closed,YYYY-10-DD 14:10:SS,YYYY-45-DD 01:45:SS,17.53,88697796
KYOC74053531152145,1889,Fixed Deposits,Closed,YYYY-17-DD 22:17:SS,YYYY-51-DD 14:51:SS,12.5,97850977
HKGL18775931137232,2380,Mutual Funds,Closed,YYYY-39-DD 01:39:SS,YYYY-58-DD 17:58:SS,15.88,11127253
SXZV93836513511970,1624,Fixed Deposits,Active,YYYY-01-DD 11:01:SS,YYYY-11-DD 06:11:SS,15.52,80085768
CDQD86815964606004,2024,Fixed Deposits,Closed,YYYY-32-DD 21:32:SS,YYYY-16-DD 14:16:SS,6.2,13551582
FPIE20611462617125,1048,Mutual Funds,Closed,YYYY-48-DD 15:48:SS,YYYY-21-DD 01:21:SS,8.21,95165646
PPZT92520744612693,1866,Stocks,Closed,YYYY-59-DD 19:59:SS,YYYY-44-DD 06:44:SS,15.13,58559901
CTNZ69698752489756,1144,Mutual Funds,Closed,YYYY-42-DD 06:42:SS,YYYY-42-DD 06:42:SS,8.17,28695080
SHHP31302314025709,2169,Fixed Deposits,Active,YYYY-50-DD 02:50:SS,YYYY-13-DD 10:13:SS,10.23,10444887
SEHS53246667227670,2049,Mutual Funds,Active,YYYY-03-DD 19:03:SS,YYYY-03-DD 19:03:SS,17.85,29535897
NESY90575113475798,1260,Stocks,Closed,YYYY-24-DD 07:24:SS,YYYY-31-DD 15:31:SS,11.45,26340623
YBKT03599887344854,2017,Stocks,Closed,YYYY-33-DD 06:33:SS,YYYY-39-DD 05:39:SS,13.98,80013945
BOIQ67868904028471,2478,Fixed Deposits,Closed,YYYY-36-DD 05:36:SS,YYYY-25-DD 14:25:SS,15.6,02152967
RKPA21896138693405,1208,Stocks,Closed,YYYY-32-DD 00:32:SS,YYYY-06-DD 05:06:SS,12.89,35057659
VCID11986079899343,1990,Stocks,Active,YYYY-13-DD 08:13:SS,YYYY-13-DD 08:13:SS,12.62,30689121
LCFF32023531674447,1638,Fixed Deposits,Closed,YYYY-57-DD 19:57:SS,YYYY-40-DD 06:40:SS,13.42,78946248
CMJY24639344052730,1246,Mutual Funds,Active,YYYY-59-DD 19:59:SS,YYYY-54-DD 16:54:SS,19.56,04678625
SCKZ22586270621366,1091,Mutual Funds,Closed,YYYY-46-DD 23:46:SS,YYYY-19-DD 16:19:SS,19.17,00597265
FQCO57026436230663,1628,Stocks,Closed,YYYY-42-DD 11:42:SS,YYYY-42-DD 11:42:SS,10.7,45728099
ABUX60263787062329,2329,Fixed Deposits,Closed,YYYY-58-DD 22:58:SS,YYYY-11-DD 00:11:SS,6.25,62267687
CWZQ42224906264869,1626,Mutual Funds,Active,YYYY-50-DD 07:50:SS,YYYY-31-DD 18:31:SS,5.94,87989366
OCWD15754041064722,2196,Stocks,Closed,YYYY-44-DD 07:44:SS,YYYY-30-DD 06:30:SS,10.31,84262080
EPAH44146965360203,2070,Fixed Deposits,Closed,YYYY-24-DD 15:24:SS,YYYY-24-DD 15:24:SS,16.3,76664762
GLSL42664295721498,1367,Stocks,Closed,YYYY-10-DD 21:10:SS,YYYY-29-DD 07:29:SS,12.99,98766635
OERP68420764196473,1224,Fixed Deposits,Closed,YYYY-21-DD 15:21:SS,YYYY-08-DD 09:08:SS,6.1,84156914
SLNA98897856591878,2250,Mutual Funds,Closed,YYYY-41-DD 14:41:SS,YYYY-14-DD 08:14:SS,8.91,58784709
HIYC21009655907077,1899,Stocks,Closed,YYYY-19-DD 22:19:SS,YYYY-00-DD 22:00:SS,13.79,41692158
DAPB30506403363924,1299,Mutual Funds,Active,YYYY-21-DD 04:21:SS,YYYY-06-DD 11:06:SS,15.57,25933901
VNTJ61586283218263,2258,Stocks,Closed,YYYY-10-DD 17:10:SS,YYYY-24-DD 00:24:SS,17.58,74334148
PFKA04163575981402,2140,Fixed Deposits,Closed,YYYY-57-DD 04:57:SS,YYYY-11-DD 03:11:SS,5,33022246
IDDX50278538812601,2233,Mutual Funds,Closed,YYYY-50-DD 16:50:SS,YYYY-48-DD 12:48:SS,15.54,44253516
BZML34064990202208,1635,Fixed Deposits,Closed,YYYY-08-DD 14:08:SS,YYYY-26-DD 07:26:SS,8.74,13735814
CCKZ30326240039264,1990,Fixed Deposits,Active,YYYY-59-DD 05:59:SS,YYYY-58-DD 17:58:SS,9.21,45863899
SYOQ11076571499183,2474,Fixed Deposits,Closed,YYYY-58-DD 17:58:SS,YYYY-07-DD 03:07:SS,15.37,73096504
BUIT16782911512900,2111,Fixed Deposits,Closed,YYYY-50-DD 09:50:SS,YYYY-49-DD 18:49:SS,18.75,16524644
HCRQ04822253010040,2320,Mutual Funds,Active,YYYY-30-DD 18:30:SS,YYYY-30-DD 21:30:SS,13.42,79896634
ELEH40216746998245,1435,Mutual Funds,Closed,YYYY-40-DD 12:40:SS,YYYY-04-DD 05:04:SS,9.11,17580915
TMWX94605494006373,1758,Mutual Funds,Closed,YYYY-00-DD 01:00:SS,YYYY-37-DD 08:37:SS,11.54,56852516
KIQN42833096133111,1649,Mutual Funds,Closed,YYYY-16-DD 21:16:SS,YYYY-36-DD 15:36:SS,11.18,49557930
MTYC31629451129931,1798,Stocks,Active,YYYY-07-DD 18:07:SS,YYYY-45-DD 03:45:SS,19.19,60814760
EHIB41838353390363,2106,Fixed Deposits,Closed,YYYY-43-DD 18:43:SS,YYYY-27-DD 04:27:SS,15.62,92997769
TKXO75664838752544,1046,Stocks,Closed,YYYY-47-DD 19:47:SS,YYYY-31-DD 10:31:SS,15.11,81350605
ZYGA49823956160821,1425,Stocks,Closed,YYYY-32-DD 09:32:SS,YYYY-27-DD 22:27:SS,7.28,14469220
YRYN11563189454649,2424,Mutual Funds,Active,YYYY-39-DD 05:39:SS,YYYY-46-DD 14:46:SS,13.83,35977698
KHAU35779352593749,2231,Fixed Deposits,Closed,YYYY-23-DD 09:23:SS,YYYY-06-DD 06:06:SS,6.23,00894340
JWOY31672493676381,1885,Mutual Funds,Active,YYYY-55-DD 22:55:SS,YYYY-39-DD 04:39:SS,15.75,76025143
FDLQ40031881091381,1718,Stocks,Active,YYYY-45-DD 04:45:SS,YYYY-45-DD 04:45:SS,17.12,93760935
LXLP47840694431921,1613,Fixed Deposits,Active,YYYY-26-DD 09:26:SS,YYYY-33-DD 09:33:SS,12.25,79985512
FLTC03420681163981,1231,Fixed Deposits,Closed,YYYY-01-DD 01:01:SS,YYYY-11-DD 18:11:SS,13.96,14248887
XYVQ13943147055572,2259,Fixed Deposits,Active,YYYY-09-DD 23:09:SS,YYYY-19-DD 11:19:SS,5.51,30370449
BFGF45787645786803,1843,Stocks,Active,YYYY-53-DD 10:53:SS,YYYY-53-DD 10:53:SS,9.86,63134780
JIQB97290080129130,1514,Mutual Funds,Active,YYYY-01-DD 21:01:SS,YYYY-05-DD 14:05:SS,6.71,95021300
RKJH02798826371601,1635,Mutual Funds,Active,YYYY-46-DD 17:46:SS,YYYY-15-DD 00:15:SS,10.26,95676845
ZJVC21658490758170,1357,Mutual Funds,Closed,YYYY-28-DD 23:28:SS,YYYY-28-DD 23:28:SS,19.14,86708708
TPJX99074191364347,1065,Stocks,Active,YYYY-01-DD 04:01:SS,YYYY-09-DD 10:09:SS,8.15,34699249
DDWL33836319153290,1001,Stocks,Active,YYYY-46-DD 16:46:SS,YYYY-43-DD 20:43:SS,17.66,09104822
PIXN90470840087590,1154,Fixed Deposits,Closed,YYYY-30-DD 11:30:SS,YYYY-48-DD 01:48:SS,10.21,09932241
MZMO25812174377273,1973,Stocks,Closed,YYYY-08-DD 11:08:SS,YYYY-02-DD 00:02:SS,9.66,49757590
FDWA99716586152101,1487,Fixed Deposits,Closed,YYYY-27-DD 04:27:SS,YYYY-43-DD 07:43:SS,12.15,92132016
JWSX77577319584073,2500,Fixed Deposits,Active,YYYY-00-DD 05:00:SS,YYYY-00-DD 05:00:SS,8.19,81731947
IATP88057389804439,2062,Fixed Deposits,Active,YYYY-04-DD 09:04:SS,YYYY-02-DD 05:02:SS,9.34,41428702
CCGX89869647449289,2488,Mutual Funds,Closed,YYYY-26-DD 17:26:SS,YYYY-26-DD 17:26:SS,15.56,37400118
GLVY43290233349713,1028,Fixed Deposits,Active,YYYY-55-DD 06:55:SS,YYYY-49-DD 22:49:SS,11.57,73807766
MFFD92621155221459,2314,Stocks,Closed,YYYY-33-DD 21:33:SS,YYYY-23-DD 03:23:SS,11.23,01713213
DXCT93522027197765,1907,Stocks,Active,YYYY-49-DD 03:49:SS,YYYY-03-DD 08:03:SS,14.8,25859652
JYQR49625109440975,2376,Fixed Deposits,Closed,YYYY-42-DD 00:42:SS,YYYY-51-DD 23:51:SS,6.81,17386586
QLOX44542783475305,2276,Fixed Deposits,Closed,YYYY-15-DD 14:15:SS,YYYY-15-DD 14:15:SS,10.86,42491255
FXKN67601207910143,1207,Fixed Deposits,Active,YYYY-28-DD 09:28:SS,YYYY-17-DD 22:17:SS,10.31,42863472
UVPY62503523775335,2032,Mutual Funds,Active,YYYY-44-DD 12:44:SS,YYYY-20-DD 12:20:SS,14.1,86573368
JHOZ35659301532418,2387,Mutual Funds,Closed,YYYY-03-DD 02:03:SS,YYYY-10-DD 06:10:SS,13.72,06138981
YXIR68495707506390,1360,Stocks,Active,YYYY-34-DD 17:34:SS,YYYY-11-DD 05:11:SS,11.26,86871761
EIFE10478073954482,1723,Mutual Funds,Active,YYYY-42-DD 03:42:SS,YYYY-52-DD 06:52:SS,9.66,06133580
QYPC19836589775770,1646,Mutual Funds,Closed,YYYY-11-DD 20:11:SS,YYYY-31-DD 16:31:SS,13.59,99181550
EFZA96900143020687,1325,Fixed Deposits,Closed,YYYY-11-DD 09:11:SS,YYYY-18-DD 11:18:SS,6.73,65245248
NOGQ69892306236403,1401,Mutual Funds,Closed,YYYY-47-DD 09:47:SS,YYYY-06-DD 11:06:SS,9.45,82822361
GXST16337041928671,2248,Stocks,Active,YYYY-39-DD 13:39:SS,YYYY-18-DD 03:18:SS,14.59,68147150
TNIM70986140751564,2004,Fixed Deposits,Closed,YYYY-26-DD 18:26:SS,YYYY-26-DD 18:26:SS,18.57,80427544
YHAG73910539157117,1342,Fixed Deposits,Active,YYYY-03-DD 06:03:SS,YYYY-03-DD 06:03:SS,14.87,55070492
DMAF66266081736143,1230,Stocks,Active,YYYY-09-DD 01:09:SS,YYYY-00-DD 11:00:SS,11.94,28973942
UTJH78135101128974,1919,Stocks,Active,YYYY-59-DD 10:59:SS,YYYY-05-DD 09:05:SS,7.29,36349432
QNCZ98241997977700,1245,Mutual Funds,Closed,YYYY-47-DD 00:47:SS,YYYY-30-DD 12:30:SS,8.67,89706695
KXEN94478226049183,2206,Fixed Deposits,Active,YYYY-07-DD 06:07:SS,YYYY-33-DD 15:33:SS,12.33,50483747
RWRW95072922357100,2082,Fixed Deposits,Closed,YYYY-03-DD 12:03:SS,YYYY-03-DD 12:03:SS,6.32,52600647
WBUS99097290173024,1624,Stocks,Closed,YYYY-31-DD 18:31:SS,YYYY-15-DD 03:15:SS,13.62,77488343
ICAD86200941477145,1011,Fixed Deposits,Closed,YYYY-33-DD 14:33:SS,YYYY-56-DD 23:56:SS,8.68,11915560
XHPP48383444915581,1383,Mutual Funds,Active,YYYY-23-DD 22:23:SS,YYYY-27-DD 22:27:SS,17.75,92002326
GJEN47926557969313,1138,Fixed Deposits,Active,YYYY-10-DD 23:10:SS,YYYY-51-DD 16:51:SS,10.88,52728822
NMMI30589317183562,1854,Fixed Deposits,Closed,YYYY-01-DD 14:01:SS,YYYY-01-DD 14:01:SS,17.57,49390155
NIKO56979355705615,2432,Stocks,Active,YYYY-12-DD 19:12:SS,YYYY-00-DD 12:00:SS,16.93,83838453
SXHV40265796219425,1897,Mutual Funds,Closed,YYYY-56-DD 20:56:SS,YYYY-00-DD 01:00:SS,15.6,24110327
CWAD56719663678139,1900,Mutual Funds,Closed,YYYY-52-DD 22:52:SS,YYYY-52-DD 22:52:SS,8.35,13226534
EUCO98368577764173,1156,Stocks,Active,YYYY-09-DD 15:09:SS,YYYY-09-DD 15:09:SS,18.79,52812026
TICY96221367901857,1506,Stocks,Active,YYYY-48-DD 06:48:SS,YYYY-49-DD 17:49:SS,10.79,21357176
PRGQ79361859852257,1609,Stocks,Closed,YYYY-07-DD 19:07:SS,YYYY-31-DD 13:31:SS,15.4,05770878
GZDW25661491146156,1666,Stocks,Closed,YYYY-01-DD 09:01:SS,YYYY-37-DD 16:37:SS,7.92,44511722
WNOZ20676957631900,1324,Mutual Funds,Closed,YYYY-26-DD 13:26:SS,YYYY-48-DD 21:48:SS,11.92,78022584
IREW69915481264092,2290,Fixed Deposits,Closed,YYYY-53-DD 23:53:SS,YYYY-32-DD 23:32:SS,19.92,57821542
JRIC30034154078088,1232,Fixed Deposits,Closed,YYYY-23-DD 08:23:SS,YYYY-21-DD 00:21:SS,15.23,37133313
LIGV80266727750999,1957,Mutual Funds,Closed,YYYY-41-DD 18:41:SS,YYYY-57-DD 17:57:SS,6,82566494
OPMI66847405917916,2284,Mutual Funds,Closed,YYYY-07-DD 17:07:SS,YYYY-23-DD 07:23:SS,7.33,09533257
FQQD70565696705726,2267,Stocks,Closed,YYYY-27-DD 07:27:SS,YYYY-40-DD 14:40:SS,6.57,06902537
UQGM79405633599494,1745,Fixed Deposits,Active,YYYY-32-DD 19:32:SS,YYYY-41-DD 00:41:SS,16.82,50320738
BWJO78556403779870,1993,Mutual Funds,Active,YYYY-59-DD 20:59:SS,YYYY-55-DD 16:55:SS,10.77,32744194
QRNC95239685272865,1268,Mutual Funds,Active,YYYY-47-DD 19:47:SS,YYYY-23-DD 21:23:SS,17.16,96576533
XSJZ35190167397602,1108,Stocks,Closed,YYYY-30-DD 01:30:SS,YYYY-00-DD 20:00:SS,18.68,66618171
MSUP27949037367785,1658,Mutual Funds,Closed,YYYY-28-DD 12:28:SS,YYYY-47-DD 09:47:SS,10.4,30783454
RVYS54590149741462,2100,Stocks,Active,YYYY-45-DD 09:45:SS,YYYY-45-DD 09:45:SS,12.8,03290675
BGAS41313736628700,1062,Stocks,Active,YYYY-53-DD 18:53:SS,YYYY-53-DD 18:53:SS,6.49,50743940
RQHZ43680414183245,1884,Fixed Deposits,Active,YYYY-22-DD 05:22:SS,YYYY-16-DD 00:16:SS,11.62,45761317
YDOL35422869489475,2407,Mutual Funds,Active,YYYY-12-DD 04:12:SS,YYYY-34-DD 00:34:SS,17.64,93346412
CCRH40503724909839,1471,Mutual Funds,Closed,YYYY-25-DD 16:25:SS,YYYY-40-DD 12:40:SS,6.4,71925417
JHBY56677049189089,1871,Mutual Funds,Closed,YYYY-52-DD 14:52:SS,YYYY-13-DD 14:13:SS,15.2,81342129
WHKQ96727251675516,2245,Stocks,Active,YYYY-16-DD 11:16:SS,YYYY-22-DD 04:22:SS,8.61,55050845
VXIR57430616895002,1237,Mutual Funds,Closed,YYYY-40-DD 10:40:SS,YYYY-29-DD 05:29:SS,15.52,04839149
QCEB68460006520378,1726,Fixed Deposits,Active,YYYY-36-DD 21:36:SS,YYYY-23-DD 21:23:SS,6.6,23274495
SSEV87455935495815,2057,Stocks,Closed,YYYY-49-DD 11:49:SS,YYYY-57-DD 10:57:SS,13.59,39267238
ZYXT35767607964669,2074,Fixed Deposits,Closed,YYYY-19-DD 14:19:SS,YYYY-04-DD 14:04:SS,18.49,55367059
XZXZ39083190751918,1366,Stocks,Closed,YYYY-10-DD 16:10:SS,YYYY-08-DD 16:08:SS,7.64,08062765
SUUH34656715956670,1112,Fixed Deposits,Closed,YYYY-09-DD 10:09:SS,YYYY-43-DD 02:43:SS,9.41,08472267
GXDF04236285441565,1095,Stocks,Active,YYYY-24-DD 11:24:SS,YYYY-02-DD 21:02:SS,19.86,78316911
EJWJ80582570431540,1285,Mutual Funds,Closed,YYYY-09-DD 07:09:SS,YYYY-09-DD 07:09:SS,19.88,34875605
AZAP31089004631624,1603,Fixed Deposits,Closed,YYYY-58-DD 22:58:SS,YYYY-58-DD 22:58:SS,6.91,49195606
RIHG93007560611126,1209,Stocks,Active,YYYY-32-DD 14:32:SS,YYYY-27-DD 12:27:SS,5.44,91372109
IZBW15227189547217,2479,Stocks,Active,YYYY-11-DD 01:11:SS,YYYY-50-DD 04:50:SS,7.4,96799840
URQR57200714799372,1446,Mutual Funds,Active,YYYY-19-DD 00:19:SS,YYYY-19-DD 00:19:SS,19.3,51821975
CXAS13658001863332,2229,Mutual Funds,Active,YYYY-24-DD 19:24:SS,YYYY-24-DD 01:24:SS,8.11,98580330
ONNG39553047761791,1999,Stocks,Active,YYYY-06-DD 07:06:SS,YYYY-06-DD 07:06:SS,5.62,85441910
XNDH81612288817601,1772,Stocks,Active,YYYY-11-DD 08:11:SS,YYYY-54-DD 14:54:SS,17.87,37775131
EAQA38903383232601,1450,Fixed Deposits,Closed,YYYY-39-DD 20:39:SS,YYYY-44-DD 00:44:SS,9.32,37630911
TOVV68782546898642,1073,Fixed Deposits,Active,YYYY-07-DD 18:07:SS,YYYY-55-DD 13:55:SS,11.96,01681512
