TRANSACTIONID,ACCOUNTID,TRANSACTIONTYPE,AMOUNT,TRANSACTIONDATE,TRANSACTIONSTATUS
12161,JVDZ20426352601153,Checks,18636,YYYY-27-DD 17:27:SS,Pending
12162,QRKA02558581694885,Deposit,4120,YYYY-01-DD 23:01:SS,Pending
12163,KUEO95018643011006,Deposit,19867,YYYY-35-DD 14:35:SS,Completed
12164,SLRY25305304768829,Cash Withdrawals,22530,YYYY-59-DD 18:59:SS,Failed
12165,DNQO40715449282169,Checks,26142,YYYY-32-DD 05:32:SS,Pending
12166,IRHG43458155864688,Cash Withdrawals,29631,YYYY-56-DD 05:56:SS,Failed
12167,ZOKU37666957175966,Wire Transfers,20002,YYYY-05-DD 04:05:SS,Failed
12168,JEYM54498022868562,Withdrawal,6455,YYYY-03-DD 08:03:SS,Completed
12169,VYPF06308270643938,Wire Transfers,15516,YYYY-26-DD 19:26:SS,Completed
12170,LOSN81309040620697,Deposit,19789,YYYY-28-DD 19:28:SS,Failed
12171,VNZS60420553100458,Deposit,47603,YYYY-18-DD 06:18:SS,Pending
12172,JBAI72747642956913,Cash Withdrawals,46155,YYYY-35-DD 01:35:SS,Completed
12173,GPUM18178574659376,Checks,33900,YYYY-02-DD 23:02:SS,Completed
12174,GCPU25350973138762,Cash Withdrawals,43819,YYYY-04-DD 04:04:SS,Pending
12175,SOZW57066886454878,Withdrawal,43954,YYYY-10-DD 00:10:SS,Completed
12176,AEUG91301115956287,Online Payments,16086,YYYY-28-DD 00:28:SS,Pending
12177,TIOU78893793942600,Wire Transfers,14983,YYYY-30-DD 23:30:SS,Completed
12178,SGTF86707229870670,Cash Withdrawals,27159,YYYY-46-DD 18:46:SS,Failed
12179,ONZN58129969401814,Wire Transfers,10024,YYYY-08-DD 23:08:SS,Completed
12180,RKKN07520128412615,Online Payments,21747,YYYY-47-DD 18:47:SS,Pending
12181,XTEC55244834602967,Online Payments,33452,YYYY-41-DD 03:41:SS,Pending
12182,MNPH16237559717189,Cash Withdrawals,32822,YYYY-09-DD 05:09:SS,Completed
12183,JCLY87113550915282,Withdrawal,3940,YYYY-17-DD 13:17:SS,Completed
12184,UWQY03357381274149,Deposit,39236,YYYY-50-DD 03:50:SS,Pending
12185,LFXM99913605911304,Deposit,16131,YYYY-23-DD 05:23:SS,Failed
12186,CLWQ57737767435631,Online Payments,35921,YYYY-43-DD 02:43:SS,Completed
12187,RKUY89784786099839,Cash Withdrawals,3099,YYYY-19-DD 07:19:SS,Pending
12188,GHAU37175645046726,Wire Transfers,23758,YYYY-00-DD 11:00:SS,Failed
12189,RVGH65569802558509,Cash Withdrawals,24609,YYYY-13-DD 20:13:SS,Completed
12190,VEFL54110256627547,Deposit,25661,YYYY-12-DD 01:12:SS,Failed
12191,FCDU16428403458804,Cash Withdrawals,47680,YYYY-42-DD 08:42:SS,Pending
12192,NTQG71779899302180,Cash Withdrawals,23835,YYYY-13-DD 08:13:SS,Pending
12193,XZGB02720169881460,Cash Withdrawals,4115,YYYY-40-DD 04:40:SS,Failed
12194,URWB10603606759211,Online Payments,6359,YYYY-53-DD 04:53:SS,Completed
12195,IWDR61870709674291,Wire Transfers,24784,YYYY-58-DD 01:58:SS,Completed
12196,VDTI92678670571054,Checks,5442,YYYY-37-DD 08:37:SS,Pending
12197,JCLY87113550915282,Checks,21276,YYYY-39-DD 17:39:SS,Failed
12198,GJRN22973101327274,Deposit,32479,YYYY-48-DD 06:48:SS,Completed
12199,VPMM65898446608671,Withdrawal,27969,YYYY-46-DD 01:46:SS,Completed
12200,KYXZ32066368082306,Checks,29635,YYYY-58-DD 19:58:SS,Pending
12201,VBHT94225677061886,Withdrawal,41671,YYYY-16-DD 08:16:SS,Pending
12202,AUUV79720300216249,Withdrawal,17116,YYYY-00-DD 01:00:SS,Pending
12203,EEBQ38890555367272,Deposit,33298,YYYY-10-DD 21:10:SS,Pending
12204,KFYL01709456210013,Online Payments,37573,YYYY-33-DD 15:33:SS,Completed
12205,MIHE88004720292125,Checks,8169,YYYY-23-DD 15:23:SS,Failed
12206,HAVW63669066586508,Checks,4586,YYYY-26-DD 11:26:SS,Pending
12207,RDPH82374522228638,Online Payments,36761,YYYY-52-DD 08:52:SS,Completed
12208,RELL50381143626409,Withdrawal,1968,YYYY-26-DD 05:26:SS,Failed
12209,HUZU15116130062746,Checks,28889,YYYY-03-DD 13:03:SS,Completed
12210,CKVV19562770220508,Withdrawal,21054,YYYY-48-DD 11:48:SS,Pending
12211,PJEH70250263235527,Withdrawal,4604,YYYY-24-DD 12:24:SS,Pending
12212,XYOU44871115647965,Withdrawal,41520,YYYY-49-DD 18:49:SS,Completed
12213,VUKL49588545244379,Online Payments,5003,YYYY-41-DD 22:41:SS,Completed
12214,OPBB37950733673783,Deposit,42304,YYYY-27-DD 21:27:SS,Pending
12215,UPNZ89175961026135,Cash Withdrawals,44287,YYYY-04-DD 20:04:SS,Failed
12216,VTUN44618446706554,Wire Transfers,27870,YYYY-04-DD 02:04:SS,Completed
12217,IIMA09307325333499,Online Payments,15190,YYYY-49-DD 16:49:SS,Pending
12218,QLAF40910341846648,Withdrawal,39998,YYYY-04-DD 14:04:SS,Completed
12219,OCPL16682564324630,Cash Withdrawals,23174,YYYY-04-DD 05:04:SS,Completed
12220,CTBG49704738525743,Online Payments,31581,YYYY-06-DD 12:06:SS,Pending
12221,LAJW44452155848012,Cash Withdrawals,10577,YYYY-01-DD 20:01:SS,Completed
12222,SOXO85376832396249,Cash Withdrawals,46243,YYYY-48-DD 06:48:SS,Failed
12223,OOIZ53389398762487,Online Payments,4725,YYYY-28-DD 06:28:SS,Pending
12224,LLQR40661502242298,Online Payments,41183,YYYY-22-DD 23:22:SS,Completed
12225,PXWR32409936936954,Checks,5229,YYYY-41-DD 17:41:SS,Completed
12226,HGTN61785463436392,Deposit,37497,YYYY-37-DD 13:37:SS,Failed
12227,PXWR32409936936954,Deposit,8588,YYYY-29-DD 10:29:SS,Completed
12228,QITF37569202963817,Withdrawal,6299,YYYY-48-DD 17:48:SS,Failed
12229,ZQMO41750695775513,Checks,36351,YYYY-44-DD 21:44:SS,Pending
12230,MGKE94640430918320,Checks,31126,YYYY-05-DD 14:05:SS,Pending
12231,QJNX11759732324749,Wire Transfers,38185,YYYY-42-DD 18:42:SS,Failed
12232,BCKW35211592620196,Cash Withdrawals,44318,YYYY-30-DD 02:30:SS,Completed
12233,SRMV55231072947563,Wire Transfers,29223,YYYY-06-DD 02:06:SS,Pending
12234,DVKA88676073494529,Checks,34234,YYYY-50-DD 03:50:SS,Failed
12235,PUIY74684381765089,Checks,19965,YYYY-12-DD 20:12:SS,Completed
12236,MMIY98100970772311,Withdrawal,32489,YYYY-08-DD 15:08:SS,Pending
12237,UVWG99228842267705,Deposit,35820,YYYY-03-DD 23:03:SS,Completed
12238,YSLW93895409981225,Checks,39868,YYYY-51-DD 18:51:SS,Completed
12239,UPAQ81717930015048,Checks,11974,YYYY-03-DD 17:03:SS,Failed
12240,OSVL95912095224389,Checks,25229,YYYY-40-DD 08:40:SS,Failed
12241,TUCL76906654507393,Cash Withdrawals,1160,YYYY-24-DD 17:24:SS,Pending
12242,VQAV82525832948862,Wire Transfers,4168,YYYY-37-DD 06:37:SS,Pending
12243,NBAN14230770470258,Checks,46966,YYYY-57-DD 12:57:SS,Pending
12244,JAGW22145943239542,Cash Withdrawals,26847,YYYY-24-DD 10:24:SS,Failed
12245,YYYW07250831573334,Online Payments,26814,YYYY-06-DD 14:06:SS,Completed
12246,YNFN60284534675047,Online Payments,27264,YYYY-12-DD 19:12:SS,Pending
12247,GOCA33417834975017,Checks,40029,YYYY-40-DD 21:40:SS,Completed
12248,QXSS84949757420301,Withdrawal,47988,YYYY-54-DD 00:54:SS,Pending
12249,IYNI62510596325222,Withdrawal,30609,YYYY-40-DD 10:40:SS,Completed
12250,BGAA05770922119076,Checks,46789,YYYY-47-DD 21:47:SS,Failed
12251,TYYS27202559545659,Wire Transfers,30175,YYYY-46-DD 21:46:SS,Completed
12252,XXTX53433650208077,Checks,32994,YYYY-32-DD 04:32:SS,Pending
12253,GFVM09170541678643,Checks,23850,YYYY-48-DD 22:48:SS,Pending
12254,PXSG70331217209880,Cash Withdrawals,39851,YYYY-38-DD 07:38:SS,Failed
12255,ONDV85565705678769,Cash Withdrawals,12645,YYYY-12-DD 13:12:SS,Failed
12256,XKDL55106234939841,Deposit,30015,YYYY-30-DD 09:30:SS,Failed
12257,IKPH74767984333479,Cash Withdrawals,12207,YYYY-25-DD 11:25:SS,Pending
12258,RVLT70929396781196,Withdrawal,45980,YYYY-25-DD 03:25:SS,Pending
12259,KUEO95018643011006,Checks,18640,YYYY-12-DD 22:12:SS,Completed
12260,ITFH18253947039279,Checks,21535,YYYY-52-DD 21:52:SS,Completed
12261,HEJB91499466838137,Online Payments,43331,YYYY-23-DD 21:23:SS,Pending
12262,XEXF17156359672053,Online Payments,28517,YYYY-30-DD 00:30:SS,Completed
12263,VEQW66300829058966,Online Payments,19985,YYYY-12-DD 10:12:SS,Failed
12264,GQVY32982352074279,Wire Transfers,19887,YYYY-21-DD 03:21:SS,Completed
12265,YZET81057876040184,Wire Transfers,10143,YYYY-41-DD 15:41:SS,Completed
12266,SVUH00581526010476,Withdrawal,40306,YYYY-40-DD 09:40:SS,Failed
12267,HQWZ29728899555278,Deposit,12819,YYYY-40-DD 02:40:SS,Pending
12268,LOLQ11802257950792,Cash Withdrawals,36258,YYYY-22-DD 07:22:SS,Failed
12269,PNFZ59817279279559,Checks,30621,YYYY-23-DD 14:23:SS,Completed
12270,ZOGI94274393506336,Wire Transfers,36481,YYYY-24-DD 19:24:SS,Failed
12271,AFKR02181444444604,Cash Withdrawals,32674,YYYY-37-DD 08:37:SS,Pending
12272,QFNM40486068873476,Wire Transfers,10859,YYYY-51-DD 16:51:SS,Completed
12273,PJGD12295419482946,Withdrawal,20691,YYYY-04-DD 15:04:SS,Completed
12274,ESRC88440430594394,Withdrawal,13191,YYYY-03-DD 08:03:SS,Pending
12275,AADY24934160460968,Deposit,7264,YYYY-46-DD 13:46:SS,Pending
12276,UATN42462347947265,Wire Transfers,48590,YYYY-37-DD 20:37:SS,Completed
12277,ZVAC47754179831164,Cash Withdrawals,16343,YYYY-19-DD 03:19:SS,Pending
12278,HCAA22421815257142,Cash Withdrawals,41457,YYYY-55-DD 23:55:SS,Failed
12279,ZGMO40022404522159,Checks,11649,YYYY-27-DD 19:27:SS,Pending
12280,TOHD39945027316680,Withdrawal,36590,YYYY-45-DD 17:45:SS,Failed
12281,ZVEH61185151881097,Checks,6214,YYYY-38-DD 11:38:SS,Completed
12282,UWPB75277259087405,Checks,40566,YYYY-53-DD 18:53:SS,Pending
12283,LJQB71279289843132,Online Payments,1179,YYYY-54-DD 21:54:SS,Pending
12284,GNDQ31803444262516,Withdrawal,22695,YYYY-36-DD 22:36:SS,Failed
12285,UWXX32045715801974,Wire Transfers,11765,YYYY-02-DD 04:02:SS,Pending
12286,DVKA76994573182324,Deposit,21779,YYYY-35-DD 23:35:SS,Completed
12287,PVID35724182816373,Withdrawal,13860,YYYY-40-DD 22:40:SS,Pending
12288,WVTW78079132558424,Wire Transfers,16360,YYYY-07-DD 22:07:SS,Completed
12289,OTBO93617623586636,Withdrawal,43057,YYYY-51-DD 14:51:SS,Completed
12290,ZPSO99711461195508,Checks,47510,YYYY-11-DD 05:11:SS,Pending
12291,QIOT28574180630968,Deposit,4078,YYYY-00-DD 05:00:SS,Completed
12292,UHZJ22799542924629,Withdrawal,23585,YYYY-31-DD 06:31:SS,Pending
12293,MELU06143688488025,Deposit,49904,YYYY-02-DD 05:02:SS,Pending
12294,ONQL76023581497082,Online Payments,13244,YYYY-06-DD 02:06:SS,Pending
12295,JHCS50276768092617,Withdrawal,22684,YYYY-52-DD 19:52:SS,Pending
12296,VAJP94148992760168,Checks,34019,YYYY-46-DD 14:46:SS,Completed
12297,CUAG09867484570455,Checks,27364,YYYY-55-DD 17:55:SS,Pending
12298,MOUJ37492164667403,Deposit,25298,YYYY-29-DD 09:29:SS,Failed
12299,CMXG64971027240851,Wire Transfers,35084,YYYY-43-DD 15:43:SS,Failed
12300,DNQO40715449282169,Online Payments,28839,YYYY-52-DD 16:52:SS,Completed
12301,OTXD96664749069632,Withdrawal,32156,YYYY-09-DD 07:09:SS,Failed
12302,BWDS14264980590901,Cash Withdrawals,48227,YYYY-48-DD 03:48:SS,Pending
12303,WVTW78079132558424,Wire Transfers,31285,YYYY-04-DD 01:04:SS,Failed
12304,DDJE38785517683488,Withdrawal,48105,YYYY-14-DD 11:14:SS,Completed
12305,ICSN33202182354035,Checks,4228,YYYY-43-DD 05:43:SS,Failed
12306,RYFR25748908112941,Deposit,30537,YYYY-53-DD 23:53:SS,Pending
12307,DATZ35689420729051,Withdrawal,30044,YYYY-51-DD 23:51:SS,Failed
12308,MTVJ02614746810185,Wire Transfers,12885,YYYY-19-DD 17:19:SS,Failed
12309,KYDT04065229666123,Wire Transfers,42084,YYYY-28-DD 17:28:SS,Failed
12310,EIVU78781996451715,Online Payments,40922,YYYY-03-DD 15:03:SS,Completed
12311,EISO95403941486071,Deposit,49529,YYYY-28-DD 08:28:SS,Pending
12312,HEJB91499466838137,Withdrawal,3389,YYYY-11-DD 01:11:SS,Failed
12313,LAJW44452155848012,Withdrawal,33986,YYYY-23-DD 22:23:SS,Pending
12314,ONKU83361795142539,Cash Withdrawals,17683,YYYY-40-DD 08:40:SS,Failed
12315,MYIG28214696738476,Withdrawal,20564,YYYY-09-DD 00:09:SS,Completed
12316,NIQA86183204137283,Deposit,40512,YYYY-07-DD 00:07:SS,Completed
12317,DKWV16918479373652,Cash Withdrawals,34636,YYYY-20-DD 07:20:SS,Pending
12318,ZEVI16163127717572,Withdrawal,39282,YYYY-15-DD 09:15:SS,Completed
12319,DCKY91850359657827,Wire Transfers,29806,YYYY-08-DD 17:08:SS,Completed
12320,KVST00398375112545,Online Payments,42369,YYYY-46-DD 00:46:SS,Failed
12321,HMGR29940616830431,Withdrawal,17674,YYYY-28-DD 16:28:SS,Completed
12322,PWYV99363964717650,Deposit,20572,YYYY-11-DD 09:11:SS,Failed
12323,MWCA19469358164194,Wire Transfers,43974,YYYY-30-DD 19:30:SS,Pending
12324,QDFD40846555161910,Checks,2098,YYYY-39-DD 02:39:SS,Pending
12325,PHQE75912980581470,Deposit,19514,YYYY-15-DD 11:15:SS,Completed
12326,HBZF17931727278985,Withdrawal,21238,YYYY-40-DD 20:40:SS,Completed
12327,VLRJ98374575682251,Checks,12064,YYYY-54-DD 02:54:SS,Pending
12328,QPGW03282124917629,Checks,25856,YYYY-30-DD 05:30:SS,Failed
12329,KGQK31808302919389,Checks,19866,YYYY-30-DD 12:30:SS,Completed
12330,LJSB72144251767496,Checks,10155,YYYY-04-DD 10:04:SS,Failed
12331,WJVH99821283558508,Wire Transfers,3727,YYYY-43-DD 12:43:SS,Failed
12332,HMBT44456995882358,Deposit,25142,YYYY-39-DD 21:39:SS,Failed
12333,KTMI85533661846520,Deposit,3806,YYYY-33-DD 22:33:SS,Completed
12334,AIQL53839696789986,Online Payments,32350,YYYY-11-DD 13:11:SS,Completed
12335,RGBN77169588643372,Online Payments,20887,YYYY-49-DD 10:49:SS,Pending
12336,XXXM56821976670182,Withdrawal,6084,YYYY-18-DD 08:18:SS,Completed
12337,QFVJ87341417480989,Withdrawal,28222,YYYY-45-DD 14:45:SS,Pending
12338,AWAO39974229672183,Cash Withdrawals,8378,YYYY-20-DD 20:20:SS,Pending
12339,FEBS71958694381763,Deposit,28206,YYYY-07-DD 14:07:SS,Completed
12340,ERRK91767888737679,Checks,11783,YYYY-53-DD 00:53:SS,Completed
12341,RDRT91193356377951,Online Payments,41796,YYYY-46-DD 20:46:SS,Pending
12342,CRKD54826369005212,Withdrawal,25798,YYYY-38-DD 03:38:SS,Pending
12343,JEHT62691153230763,Deposit,35609,YYYY-03-DD 11:03:SS,Pending
12344,KCNZ79273799659840,Withdrawal,46031,YYYY-34-DD 12:34:SS,Failed
12345,UMME12686771584721,Online Payments,3659,YYYY-42-DD 11:42:SS,Pending
12346,XILO70345995390367,Checks,24699,YYYY-40-DD 09:40:SS,Failed
12347,RRUU93348219199688,Wire Transfers,24839,YYYY-47-DD 05:47:SS,Completed
12348,ASAZ16831765160966,Online Payments,14366,YYYY-53-DD 18:53:SS,Pending
12349,URWB10603606759211,Cash Withdrawals,15880,YYYY-36-DD 13:36:SS,Completed
12350,VBLO75647621801479,Checks,8132,YYYY-19-DD 16:19:SS,Pending
12351,DFTD65406932229419,Online Payments,23807,YYYY-58-DD 14:58:SS,Completed
12352,MARC17709194546304,Cash Withdrawals,39541,YYYY-11-DD 23:11:SS,Completed
12353,BAIT99286421201537,Cash Withdrawals,18798,YYYY-19-DD 09:19:SS,Completed
12354,DVMI11368915146958,Withdrawal,10068,YYYY-40-DD 16:40:SS,Failed
12355,ZXUV20129238682416,Wire Transfers,3238,YYYY-05-DD 05:05:SS,Completed
12356,MVHW07587227633310,Deposit,44048,YYYY-09-DD 16:09:SS,Pending
12357,SVUH00581526010476,Online Payments,3703,YYYY-42-DD 21:42:SS,Completed
12358,SBUO67862144321899,Wire Transfers,1254,YYYY-35-DD 10:35:SS,Pending
12359,XEZQ00680439717715,Wire Transfers,24913,YYYY-34-DD 13:34:SS,Completed
12360,QCSX67546836885773,Wire Transfers,25748,YYYY-41-DD 05:41:SS,Pending
12361,GYXB01055928196687,Cash Withdrawals,49219,YYYY-08-DD 20:08:SS,Failed
12362,HTVJ59806129216680,Wire Transfers,24208,YYYY-17-DD 06:17:SS,Completed
12363,KZDY87177313723438,Deposit,28755,YYYY-09-DD 05:09:SS,Failed
12364,ZFIG17851858786099,Withdrawal,43222,YYYY-44-DD 11:44:SS,Completed
12365,NSXJ21730049960764,Cash Withdrawals,24890,YYYY-40-DD 02:40:SS,Failed
12366,DKRA59478373495326,Online Payments,12029,YYYY-05-DD 04:05:SS,Failed
12367,OPKO20873131787642,Online Payments,48362,YYYY-43-DD 16:43:SS,Failed
12368,TWJH29613625852060,Wire Transfers,17485,YYYY-40-DD 22:40:SS,Failed
12369,HPDS03577496791767,Deposit,46125,YYYY-02-DD 12:02:SS,Failed
12370,UPNZ89175961026135,Deposit,9144,YYYY-06-DD 04:06:SS,Failed
12371,XYFY94618017376913,Cash Withdrawals,10153,YYYY-22-DD 14:22:SS,Failed
12372,AEUG91301115956287,Wire Transfers,9978,YYYY-22-DD 21:22:SS,Completed
12373,TBSI70682893104297,Online Payments,39579,YYYY-40-DD 00:40:SS,Completed
12374,GHUA26304670583549,Online Payments,24059,YYYY-22-DD 03:22:SS,Failed
12375,DZNP90071666458007,Deposit,21942,YYYY-30-DD 02:30:SS,Failed
12376,VCLD41307666211402,Wire Transfers,37035,YYYY-43-DD 03:43:SS,Pending
12377,CXXD83275898247633,Checks,18595,YYYY-52-DD 00:52:SS,Failed
12378,YOAW63418139367454,Online Payments,34862,YYYY-36-DD 05:36:SS,Pending
12379,YWOO60547094279191,Online Payments,43506,YYYY-05-DD 17:05:SS,Completed
12380,BLIY28772692651961,Wire Transfers,9168,YYYY-15-DD 07:15:SS,Failed
12381,AEEB75202936984173,Online Payments,30886,YYYY-57-DD 19:57:SS,Failed
12382,HMKT56032987322635,Online Payments,8934,YYYY-26-DD 18:26:SS,Completed
12383,YXAR19542347984459,Withdrawal,41898,YYYY-00-DD 13:00:SS,Pending
12384,HCAA22421815257142,Deposit,46018,YYYY-14-DD 15:14:SS,Completed
12385,ESYP95774970577146,Deposit,25905,YYYY-41-DD 14:41:SS,Failed
12386,YHEI89850491789325,Withdrawal,2136,YYYY-47-DD 05:47:SS,Failed
12387,WVQZ54644548742508,Online Payments,45383,YYYY-35-DD 02:35:SS,Pending
12388,GTDP39210014005941,Wire Transfers,22487,YYYY-27-DD 08:27:SS,Completed
12389,RPIM31233035603825,Deposit,16606,YYYY-52-DD 00:52:SS,Completed
12390,ALEV10077318515343,Cash Withdrawals,21211,YYYY-19-DD 14:19:SS,Completed
12391,WJTR29237126136302,Wire Transfers,36664,YYYY-58-DD 12:58:SS,Completed
12392,IEHN89905603416646,Checks,2675,YYYY-08-DD 17:08:SS,Pending
12393,TZOO14139326604712,Online Payments,39114,YYYY-26-DD 10:26:SS,Failed
12394,PZXV72166832004753,Cash Withdrawals,44541,YYYY-18-DD 15:18:SS,Completed
12395,HQHD83114740723572,Withdrawal,41960,YYYY-47-DD 03:47:SS,Pending
12396,KMPJ49225889822054,Checks,1665,YYYY-21-DD 17:21:SS,Completed
12397,GKXX68084846422159,Checks,42534,YYYY-50-DD 18:50:SS,Pending
12398,BLVQ43228938361298,Checks,44005,YYYY-20-DD 15:20:SS,Pending
12399,EHTJ99129207120712,Checks,35991,YYYY-29-DD 06:29:SS,Completed
12400,URHB54307115302849,Wire Transfers,24935,YYYY-08-DD 05:08:SS,Completed
12401,RNRD80086167000602,Checks,19751,YYYY-09-DD 19:09:SS,Failed
12402,MRTP46122222246346,Withdrawal,1086,YYYY-37-DD 12:37:SS,Failed
12403,SNWQ37917410527283,Withdrawal,3796,YYYY-46-DD 11:46:SS,Failed
12404,GQVY32982352074279,Withdrawal,13739,YYYY-10-DD 05:10:SS,Failed
12405,MXTV75891194915528,Online Payments,8771,YYYY-22-DD 10:22:SS,Completed
12406,WJWG15156238194183,Wire Transfers,17867,YYYY-12-DD 14:12:SS,Pending
12407,HTVJ59806129216680,Checks,24176,YYYY-49-DD 19:49:SS,Completed
12408,SXPK92778784070774,Withdrawal,30245,YYYY-47-DD 02:47:SS,Failed
12409,AKOL37408013704926,Wire Transfers,5287,YYYY-56-DD 17:56:SS,Completed
12410,RFSY96193217088972,Checks,3852,YYYY-02-DD 05:02:SS,Completed
12411,ASCI22180183243413,Cash Withdrawals,26867,YYYY-42-DD 22:42:SS,Pending
12412,GCPU25350973138762,Wire Transfers,43162,YYYY-19-DD 17:19:SS,Failed
12413,CEHM39688413174488,Cash Withdrawals,27314,YYYY-03-DD 21:03:SS,Failed
12414,NHDG87976845599278,Online Payments,4884,YYYY-33-DD 06:33:SS,Completed
12415,RROG37885207018653,Deposit,13826,YYYY-52-DD 13:52:SS,Pending
12416,IEOE37000774175164,Withdrawal,24804,YYYY-14-DD 21:14:SS,Pending
12417,LPRE11607257308824,Deposit,15902,YYYY-41-DD 00:41:SS,Failed
12418,FNCO03998294020344,Cash Withdrawals,36681,YYYY-10-DD 22:10:SS,Pending
12419,XKDL55106234939841,Deposit,47133,YYYY-07-DD 09:07:SS,Pending
12420,NFUD05548869340001,Deposit,32899,YYYY-56-DD 00:56:SS,Completed
12421,FYRB64057685188027,Online Payments,31664,YYYY-34-DD 19:34:SS,Completed
12422,YZEI27432903045896,Withdrawal,9324,YYYY-54-DD 00:54:SS,Failed
12423,JYTW89581344091778,Checks,7540,YYYY-38-DD 10:38:SS,Failed
12424,EHTJ99129207120712,Online Payments,38086,YYYY-43-DD 01:43:SS,Completed
12425,ZURW36191858689713,Online Payments,43975,YYYY-47-DD 09:47:SS,Completed
12426,JYJP92449375961538,Wire Transfers,28299,YYYY-16-DD 18:16:SS,Pending
12427,XNVM01815796834565,Checks,27357,YYYY-02-DD 07:02:SS,Failed
12428,RFNK04257692942226,Cash Withdrawals,1132,YYYY-45-DD 16:45:SS,Failed
12429,UYLC72108317177795,Withdrawal,36701,YYYY-38-DD 19:38:SS,Pending
12430,ZGMO40022404522159,Wire Transfers,49329,YYYY-18-DD 02:18:SS,Failed
12431,OYSJ15467473682669,Wire Transfers,24941,YYYY-24-DD 01:24:SS,Completed
12432,JEFX50666197905248,Online Payments,2710,YYYY-58-DD 21:58:SS,Completed
12433,KLWQ64491836252887,Online Payments,24391,YYYY-25-DD 03:25:SS,Pending
12434,RQFZ76480697654425,Cash Withdrawals,46600,YYYY-52-DD 03:52:SS,Completed
12435,YJVB17372323438855,Withdrawal,49487,YYYY-55-DD 07:55:SS,Failed
12436,PEWK05043323321073,Cash Withdrawals,33395,YYYY-45-DD 07:45:SS,Pending
12437,VQAV82525832948862,Online Payments,28835,YYYY-54-DD 21:54:SS,Completed
12438,ELUD98147113083048,Checks,47198,YYYY-34-DD 16:34:SS,Completed
12439,ALJO08805431996446,Deposit,26735,YYYY-04-DD 14:04:SS,Pending
12440,ZRWY82488096809472,Online Payments,27412,YYYY-04-DD 13:04:SS,Completed
12441,GMFM15880748585945,Cash Withdrawals,40388,YYYY-27-DD 06:27:SS,Completed
12442,TQNB35707487411472,Online Payments,45822,YYYY-24-DD 01:24:SS,Completed
12443,OIPR05083594547552,Online Payments,43504,YYYY-56-DD 23:56:SS,Completed
12444,ADWU06373422520430,Deposit,48191,YYYY-39-DD 15:39:SS,Completed
12445,NBWM65366710563097,Checks,11006,YYYY-39-DD 10:39:SS,Failed
12446,YYYW07250831573334,Checks,43392,YYYY-08-DD 18:08:SS,Pending
12447,TNGW15849632092092,Cash Withdrawals,13098,YYYY-15-DD 20:15:SS,Completed
12448,ERRK91767888737679,Checks,12106,YYYY-24-DD 07:24:SS,Pending
12449,XWUG52249065512502,Checks,40466,YYYY-56-DD 00:56:SS,Pending
12450,YFTX65487461113730,Wire Transfers,9928,YYYY-02-DD 14:02:SS,Pending
12451,ZHPY63677501264964,Wire Transfers,34146,YYYY-59-DD 12:59:SS,Failed
12452,ZKOL70112202883784,Cash Withdrawals,41376,YYYY-23-DD 20:23:SS,Completed
12453,DKWV16918479373652,Deposit,28812,YYYY-21-DD 03:21:SS,Completed
12454,XHRB35540367835685,Online Payments,49113,YYYY-06-DD 14:06:SS,Pending
12455,DWEX74198694599855,Checks,44119,YYYY-12-DD 07:12:SS,Failed
12456,HZIS67783277565266,Checks,29203,YYYY-50-DD 01:50:SS,Pending
12457,HTEP13704472589333,Checks,25183,YYYY-30-DD 08:30:SS,Completed
12458,BAFV71251835850425,Cash Withdrawals,7260,YYYY-40-DD 13:40:SS,Failed
12459,FLOH66689878490854,Wire Transfers,2953,YYYY-57-DD 09:57:SS,Pending
12460,KHAB51913655837268,Withdrawal,31918,YYYY-44-DD 03:44:SS,Pending
12461,XRBC47846691402171,Withdrawal,11191,YYYY-19-DD 20:19:SS,Completed
12462,SCPO86199632736602,Deposit,38109,YYYY-39-DD 04:39:SS,Pending
12463,YNFN60284534675047,Withdrawal,32396,YYYY-53-DD 20:53:SS,Pending
12464,PGPN98945578664111,Checks,47229,YYYY-29-DD 16:29:SS,Pending
12465,JAVZ18789160419862,Deposit,4926,YYYY-20-DD 14:20:SS,Pending
12466,SOHB50232491905962,Checks,22753,YYYY-32-DD 16:32:SS,Failed
12467,ONBZ46996951006351,Deposit,44488,YYYY-29-DD 21:29:SS,Completed
12468,ZQIC63930840087605,Withdrawal,37934,YYYY-39-DD 23:39:SS,Completed
12469,OYLM35904772717846,Checks,14333,YYYY-29-DD 05:29:SS,Pending
12470,PZYD40818082456437,Wire Transfers,36210,YYYY-46-DD 07:46:SS,Pending
12471,BWEZ69740610642549,Withdrawal,7012,YYYY-45-DD 23:45:SS,Failed
12472,PZXV72166832004753,Withdrawal,11551,YYYY-02-DD 16:02:SS,Completed
12473,SEUI77101781465139,Checks,18366,YYYY-34-DD 09:34:SS,Completed
12474,CHTY78785053730497,Online Payments,38526,YYYY-49-DD 23:49:SS,Completed
12475,UTOY39835139380622,Withdrawal,35202,YYYY-46-DD 15:46:SS,Completed
12476,UVXC23683235959440,Withdrawal,37801,YYYY-24-DD 18:24:SS,Completed
12477,AFKR02181444444604,Wire Transfers,30321,YYYY-58-DD 11:58:SS,Completed
12478,WFCY91635212865234,Deposit,20704,YYYY-53-DD 07:53:SS,Failed
12479,WBMM97349002402200,Deposit,37921,YYYY-30-DD 07:30:SS,Completed
